cliente,servico,review
Cliente_103,Fibra Óptica,Péssimo suporte ao cliente.
Cliente_180,TV,Ainda estou avaliando o serviço.
Cliente_093,Internet,O atendimento poderia ser melhor.
Cliente_015,Streaming,"Serviço razoável, mas melhorou ultimamente."
Cliente_107,Streaming,Equipe super preparada e educada.
Cliente_072,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_189,Streaming,"Quero cancelar, só dor de cabeça."
Cliente_021,Telefone,Equipe super preparada e educada.
Cliente_103,TV,"O sinal cai toda hora, não gosto."
Cliente_122,Fibra Óptica,"Ótimo serviço, estou muito satisfeito."
Cliente_075,Streaming,Não resolve meu problema nunca.
Cliente_088,Streaming,Nunca consigo falar com o suporte.
Cliente_117,Nuvem,Atendimento rápido e eficiente.
Cliente_100,TV,O app poderia ser mais rápido.
Cliente_104,Internet,Estou gostando bastante do serviço.
Cliente_152,TV,Atendimento cordial e sem enrolação.
Cliente_131,TV,Péssimo! Nunca mais contrato.
Cliente_150,Fibra Óptica,Estou gostando bastante do serviço.
Cliente_053,TV,Estou muito insatisfeito com o serviço.
Cliente_002,Fibra Óptica,Nota 10! Melhor experiência que já tive.
Cliente_088,Streaming,Atendimento rápido e eficiente.
Cliente_158,Streaming,"Serviço comum, nem bom nem ruim."
Cliente_038,Telefone,Poderiam oferecer mais opções.
Cliente_130,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado."
Cliente_192,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_188,Internet,Nunca consigo falar com o suporte.
Cliente_021,Nuvem,Funcionou perfeitamente durante a viagem.
Cliente_161,TV,Estou gostando bastante do serviço.
Cliente_058,Internet,"Serviço razoável, mas melhorou ultimamente."
Cliente_022,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_089,Internet,"Resolveu meu problema na hora, parabéns!"
Cliente_049,Telefone,O app poderia ser mais rápido.
Cliente_059,Nuvem,Nunca consigo falar com o suporte.
Cliente_170,Fibra Óptica,Atendimento demorado e ineficiente.
Cliente_188,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_015,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_190,Nuvem,Equipe super preparada e educada.
Cliente_190,Telefone,O app poderia ser mais rápido.
Cliente_175,Streaming,O app poderia ser mais rápido.
Cliente_190,Internet,Nota 10! Melhor experiência que já tive.
Cliente_051,TV,Muito bom! Surpreendeu minhas expectativas.
Cliente_108,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_055,Streaming,O atendimento poderia ser melhor.
Cliente_064,Telefone,"Cobrança correta, sem surpresas."
Cliente_131,Nuvem,Estou muito insatisfeito com o serviço.
Cliente_051,Internet,"Cobrança correta, sem surpresas."
Cliente_135,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_021,Fibra Óptica,"Serviço comum, nem bom nem ruim."
Cliente_073,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente."
Cliente_167,Streaming,"Ótimo serviço, estou muito satisfeito."
Cliente_018,Streaming,Péssimo! Nunca mais contrato.
Cliente_132,Internet,Estou gostando bastante do serviço.
Cliente_089,Nuvem,Atendimento demorado e ineficiente.
Cliente_060,Telefone,Atendimento rápido e eficiente.
Cliente_014,Nuvem,"Nada a reclamar, tudo dentro do esperado."
Cliente_009,Nuvem,"Serviço comum, nem bom nem ruim."
Cliente_090,Nuvem,Nota 10! Melhor experiência que já tive.
Cliente_053,Internet,"O sinal cai toda hora, não gosto."
Cliente_130,Internet,Péssimo suporte ao cliente.
Cliente_084,Telefone,Atendimento cordial e sem enrolação.
Cliente_092,Nuvem,"Experiência comum, igual a outras empresas."
Cliente_111,Internet,Poderiam oferecer mais opções.
Cliente_188,Telefone,"É um serviço ok, cumpre o que promete."
Cliente_199,Fibra Óptica,"Serviço razoável, mas melhorou ultimamente."
Cliente_172,Telefone,"Resolveu meu problema na hora, parabéns!"
Cliente_008,Nuvem,Funciona na maior parte do tempo.
Cliente_175,TV,Nunca consigo falar com o suporte.
Cliente_035,Nuvem,Ainda estou avaliando o serviço.
Cliente_081,TV,Nota 10! Melhor experiência que já tive.
Cliente_164,Telefone,"Quero cancelar, só dor de cabeça."
Cliente_050,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_104,Fibra Óptica,O atendimento poderia ser melhor.
Cliente_132,Internet,Atendimento cordial e sem enrolação.
Cliente_002,Fibra Óptica,"Muito lento, sempre com problemas."
Cliente_134,Streaming,Funcionou perfeitamente durante a viagem.
Cliente_054,Telefone,Não resolve meu problema nunca.
Cliente_106,Internet,Nunca consigo falar com o suporte.
Cliente_004,Fibra Óptica,Péssimo! Nunca mais contrato.
Cliente_054,Telefone,Atendimento demorado e ineficiente.
Cliente_191,Nuvem,Atendimento rápido e eficiente.
Cliente_146,Fibra Óptica,"Resolveu meu problema na hora, parabéns!"
Cliente_044,TV,"Nada a reclamar, tudo dentro do esperado."
Cliente_162,Telefone,Péssimo! Nunca mais contrato.
Cliente_190,Internet,Funcionou perfeitamente durante a viagem.
Cliente_014,Nuvem,"Ótimo serviço, estou muito satisfeito."
Cliente_095,Streaming,O atendimento poderia ser melhor.
Cliente_048,Nuvem,"O sinal cai toda hora, não gosto."
Cliente_015,Fibra Óptica,Péssimo suporte ao cliente.
Cliente_200,TV,Atendimento rápido e eficiente.
Cliente_190,Nuvem,"Cobrança correta, sem surpresas."
Cliente_040,Streaming,"Fui muito bem atendido, recomendo!"
Cliente_082,Internet,"Cobrança correta, sem surpresas."
Cliente_111,Telefone,Poderiam oferecer mais opções.
Cliente_053,TV,Não resolve meu problema nunca.
Cliente_024,Streaming,"Serviço razoável, mas melhorou ultimamente."
Cliente_154,Fibra Óptica,Ainda estou avaliando o serviço.
Cliente_188,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado."
Cliente_124,Fibra Óptica,Funcionou perfeitamente durante a viagem.
Cliente_041,TV,"Experiência comum, igual a outras empresas."
Cliente_157,Nuvem,"É um serviço ok, cumpre o que promete."
Cliente_015,TV,"É um serviço ok, cumpre o que promete."
Cliente_045,Fibra Óptica,Não resolve meu problema nunca.
