cliente,servico,review,sentimento_modelo,sentimento
Cliente_103,Fibra Óptica,Péssimo suporte ao cliente.,1 star,Negativo
Cliente_180,TV,Ainda estou avaliando o serviço.,4 stars,Positivo
Cliente_093,Internet,O atendimento poderia ser melhor.,3 stars,Neutro
Cliente_015,Streaming,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_107,Streaming,Equipe super preparada e educada.,5 stars,Positivo
Cliente_072,Streaming,"Fui muito bem atendido, recomendo!",5 stars,Positivo
Cliente_189,Streaming,"Quero cancelar, só dor de cabeça.",1 star,Negativo
Cliente_021,Telefone,Equipe super preparada e educada.,5 stars,Positivo
Cliente_103,TV,"O sinal cai toda hora, não gosto.",1 star,Negativo
Cliente_122,Fibra Óptica,"Ótimo serviço, estou muito satisfeito.",5 stars,Positivo
Cliente_075,Streaming,Não resolve meu problema nunca.,1 star,Negativo
Cliente_088,Streaming,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_117,Nuvem,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_100,TV,O app poderia ser mais rápido.,3 stars,Neutro
Cliente_104,Internet,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_152,TV,Atendimento cordial e sem enrolação.,1 star,Negativo
Cliente_131,TV,Péssimo! Nunca mais contrato.,1 star,Negativo
Cliente_150,Fibra Óptica,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_053,TV,Estou muito insatisfeito com o serviço.,1 star,Negativo
Cliente_002,Fibra Óptica,Nota 10! Melhor experiência que já tive.,5 stars,Positivo
Cliente_088,Streaming,Atendimento rápido e eficiente.,5 stars,Positivo
Cliente_158,Streaming,"Serviço comum, nem bom nem ruim.",3 stars,Neutro
Cliente_038,Telefone,Poderiam oferecer mais opções.,3 stars,Neutro
Cliente_130,Fibra Óptica,"Nada a reclamar, tudo dentro do esperado.",1 star,Negativo
Cliente_192,Fibra Óptica,"Resolveu meu problema na hora, parabéns!",5 stars,Positivo
Cliente_188,Internet,Nunca consigo falar com o suporte.,1 star,Negativo
Cliente_021,Nuvem,Funcionou perfeitamente durante a viagem.,5 stars,Positivo
Cliente_161,TV,Estou gostando bastante do serviço.,4 stars,Positivo
Cliente_058,Internet,"Serviço razoável, mas melhorou ultimamente.",3 stars,Neutro
Cliente_022,Fibra Óptica,Atendimento demorado e ineficiente.,1 star,Negativo
